Topology,R1,R2,R3,C1,C2,C3,RA,RB,K_calc,Q_calc,f0_calc,SampleID,FamilyLabel,ResponseType
ACTIVE_OTHER_CASCADED_VCVS,4523.69705447395,4523.69705447395,20081.9531506444,1.72834712474932e-12,1.72834712474932e-12,1.24645713197942e-11,10198.7395997319,5772.82385455046,2.17013012276124,0.658424416716485,10495987.047332,2529,ACTIVE_OTHER,LPF
ACTIVE_OTHER_CASCADED_VCVS,1480.77183052163,1480.77183052163,43900.8028142028,8.73331816661775e-10,8.73331816661775e-10,3.38175307901806e-12,9996.94097840252,10015.4276246015,2.71149404860766,0.804784347425666,597548.635263362,2646,ACTIVE_OTHER,HPF
VCVS_BSF,103044.302233884,103044.302233884,NaN,1.2037427809605e-12,1.2037427809605e-12,NaN,10312.4143577873,766.087383273711,1.07428787834686,0.540124719450684,1283105.75617444,1160,VCVS,BSF
PASSIVE_RLC_BSF,1216.03392419723,NaN,NaN,1.15143565222972e-10,NaN,NaN,NaN,NaN,1,10,71039.4823041991,11,PASSIVE,BSF
PASSIVE_RLC_BPF,14.0441475537407,NaN,NaN,8.87400625823154e-11,NaN,NaN,NaN,NaN,1,10,2616.61170686089,12,PASSIVE,BPF
ACTIVE_OTHER_CASCADED_VCVS,43772.100767345,43772.100767345,647415.816969536,2.65401875732693e-11,2.65401875732693e-11,1.39200559738422e-11,9889.05129430236,4107.48475554822,1.8224933756661,0.778565512338614,77329.8185346193,2355,ACTIVE_OTHER,BSF
MFB_HPF,1631.03282620897,41204616002.0284,NaN,2.45932814491584e-11,1.19261559577228e-10,2.49828980151912e-11,NaN,NaN,-1.01584239853629,6.33190225500801e-05,355.66751082402,1862,MFB,HPF
PASSIVE_RLC_BSF,129.414871846101,NaN,NaN,2.20304807344773e-10,NaN,NaN,NaN,NaN,1,10,14270.0489427989,474,PASSIVE,BSF
ACTIVE_OTHER_CASCADED_VCVS,470772.659678223,470772.659678223,97813.838550824,3.96612251961572e-10,3.96612251961572e-10,3.71532169897404e-10,10138.108936306,7930.98663848407,2.47998810994863,0.721448826677963,2615.94366896727,2434,ACTIVE_OTHER,HPF
VCVS_HPF,401823.470251003,401823.470251003,NaN,4.93540273147429e-11,4.93540273147429e-11,NaN,9972.12126845177,13981.6543834833,2.40207424349284,1.67244844216377,8025.31771086941,1072,VCVS,HPF
PASSIVE_RLC_BSF,71.9550771038396,NaN,NaN,1.18364462820564e-12,NaN,NaN,NaN,NaN,1,10,377894.830701179,199,PASSIVE,BSF
VCVS_LPF,127593.58433564,127593.58433564,NaN,1.17891010457111e-11,1.17891010457111e-11,NaN,10104.1183186994,666.536734221044,1.06596683779796,0.517054215792984,105806.074948669,938,VCVS,LPF
VCVS_HPF,65799.4807523109,65799.4807523109,NaN,1.35056796568165e-10,1.35056796568165e-10,NaN,10057.5486739591,1638.60444695348,1.16292284532474,0.544342951222846,17909.4076043478,1282,VCVS,HPF
VCVS_LPF,273562.646748561,273562.646748561,NaN,1.43620184302039e-11,1.43620184302039e-11,NaN,10110.6266405113,2231.39754490215,1.2206982439606,0.562018216755955,40508.6579261412,1133,VCVS,LPF
ACTIVE_OTHER_CASCADED_VCVS,311989.899818279,311989.899818279,58891.3364997113,2.71798380427701e-12,2.71798380427701e-12,1.46665312385975e-10,10259.4510022439,2880.77421532125,2.39287634480693,0.732636362010807,103056.4017781,2520,ACTIVE_OTHER,LPF
VCVS_BPF,22449.5212858188,22449.5212858188,NaN,1.07946184227692e-11,1.07946184227692e-11,NaN,10058.3694030858,11348.8452688372,2.12829871463614,1.14718197252926,656758.575140629,1198,VCVS,BPF
MFB_LPF,1259.83445660654,6175.58060651967,4558.62141348782,1.4747246412601e-10,9.75606546563538e-10,NaN,NaN,NaN,-3.61842890514903,0.0623601202499594,79080.908467347,1819,MFB,LPF
ACTIVE_OTHER_CASCADED_VCVS,3211.49233401976,3211.49233401976,17414.6825446912,7.92859306357685e-11,7.92859306357685e-11,1.27277547217628e-10,9874.04445505009,962.287696239502,1.26072798591859,0.532897163164224,348429.035924856,2709,ACTIVE_OTHER,BPF
PASSIVE_RLC_BPF,52.465718219873,NaN,NaN,1.59755256368428e-11,NaN,NaN,NaN,NaN,1,10,5450.78386088997,369,PASSIVE,BPF
PASSIVE_RC,25026.8893068616,NaN,NaN,6.93964657559435e-12,NaN,NaN,NaN,NaN,1,NaN,916380.640641662,371,PASSIVE,HPF
VCVS_BSF,30052.5870986379,30052.5870986379,NaN,9.10318325441837e-10,9.10318325441837e-10,NaN,10052.7629915663,5865.54315107224,1.58347572264392,1.20041022140124,5817.61506216819,797,VCVS,BSF
ACTIVE_OTHER_CASCADED_VCVS,2751.85875842516,2751.85875842516,18777.0202584593,5.46088150991886e-11,5.46088150991886e-11,8.43397220355535e-12,10121.9622819445,4483.29950406147,1.77763139522538,0.774279393108559,1032037.49467174,2189,ACTIVE_OTHER,BSF
VCVS_LPF,784146.167143415,784146.167143415,NaN,1.51721395191214e-11,1.51721395191214e-11,NaN,10172.0154880185,9439.11432761029,1.92794926813949,0.932791676998839,13377.5406687587,1168,VCVS,LPF
MFB_HPF,7250.969922546,8316.61843539747,NaN,2.94356309031171e-10,6.47626087025824e-10,3.32552313101898e-10,NaN,NaN,-1.12976111908878,0.30093903620839,44162.7936212639,1750,MFB,HPF
ACTIVE_OTHER_CASCADED_VCVS,13906.0350357111,13906.0350357111,17246.7641838862,3.852472529325e-11,3.852472529325e-11,3.67582477517003e-11,9718.53882058354,5617.30231800464,2.0016037096355,0.640374815987571,274065.587291681,2612,ACTIVE_OTHER,HPF
PASSIVE_RC,127894.54156753,NaN,NaN,5.97035582631375e-11,NaN,NaN,NaN,NaN,1,NaN,20843.3685022165,431,PASSIVE,LPF
MFB_BPF,16046.1902638425,367841.081370656,NaN,1.24414589806337e-10,9.48697754659325e-12,NaN,NaN,NaN,-6569014.03637689,1.22845167950198,60298.2148963005,1939,MFB,BPF
PASSIVE_RC,721055.339588443,NaN,NaN,9.74994473515221e-11,NaN,NaN,NaN,NaN,1,NaN,2263.85903221655,444,PASSIVE,LPF
VCVS_BPF,915323.590967013,915323.590967013,NaN,2.70379992161006e-11,2.70379992161006e-11,NaN,10196.9031981852,9663.20269856943,1.94766053092367,0.950263702337166,6430.88768592464,761,VCVS,BPF
PASSIVE_RC,1868.787314899,NaN,NaN,1.10621443498028e-10,NaN,NaN,NaN,NaN,1,NaN,769876.268840009,352,PASSIVE,HPF
PASSIVE_RC,1463.95415953921,NaN,NaN,3.43930548844176e-10,NaN,NaN,NaN,NaN,1,NaN,316098.11130156,658,PASSIVE,LPF
PASSIVE_RLC_BPF,41.005962849927,NaN,NaN,3.3682982333855e-10,NaN,NaN,NaN,NaN,1,10,20031.5478980503,563,PASSIVE,BPF
PASSIVE_RC,9292.34887820526,NaN,NaN,4.22793160118708e-11,NaN,NaN,NaN,NaN,1,NaN,405104.131137557,529,PASSIVE,HPF
MFB_LPF,89720211447.9012,3993.75419248795,98199605318.2004,1.62836385173712e-11,1.22283552219266e-11,NaN,NaN,NaN,-1.0945092943213,0.00023271665237128,569.527691756064,1533,MFB,LPF
ACTIVE_OTHER_CASCADED_VCVS,161211.091992107,161211.091992107,72308.3541069508,1.97282871943222e-12,1.97282871943222e-12,9.55057425035544e-11,10266.0037420511,1293.20729657268,1.52181918362885,0.570122296404908,261733.850549447,2428,ACTIVE_OTHER,LPF
PASSIVE_RC,23969.2107588603,NaN,NaN,2.51358854699229e-11,NaN,NaN,NaN,NaN,1,NaN,264163.134170651,565,PASSIVE,HPF
VCVS_BPF,68200.939357138,68200.939357138,NaN,2.84362905538627e-11,2.84362905538627e-11,NaN,10283.3493587296,9372.47426760899,1.91142233339108,0.918629906412785,82064.7842693469,746,VCVS,BPF
VCVS_HPF,439414.813611875,439414.813611875,NaN,1.02709905039859e-10,1.02709905039859e-10,NaN,9688.61677216437,11448.8297730204,2.18167846269998,1.22201354164454,3526.41248253603,1257,VCVS,HPF
MFB_LPF,450.654263455298,20153.8325637635,1595.74305373932,1.03753418854999e-10,9.68002490069921e-11,NaN,NaN,NaN,-3.54094742498227,0.0630538849392248,280040.201725197,2066,MFB,LPF
MFB_HPF,6457.92217175006,1465426.80407442,NaN,2.41257979777954e-11,2.19117804735108e-11,2.34603253009229e-10,NaN,NaN,-9.72416552709056,0.00174408234414022,22818.4328319884,2075,MFB,HPF
PASSIVE_RC,1300.20257421956,NaN,NaN,1.58708762524458e-12,NaN,NaN,NaN,NaN,1,NaN,77127313.5750616,148,PASSIVE,LPF
MFB_BPF,27013.8713177,12639748.3834275,NaN,4.93332509294455e-11,5.36717640186463e-10,NaN,NaN,NaN,-68971.124042296,6.00597157742744,1673.84292758084,2052,MFB,BPF
MFB_BPF,48376.6453495396,3408261.01958789,NaN,2.55453440902962e-10,3.41935729657788e-10,NaN,NaN,NaN,-60453.2657974897,4.15259258345841,1326.19599799235,1437,MFB,BPF
VCVS_BPF,101674.704878952,101674.704878952,NaN,1.08822685282771e-11,1.08822685282771e-11,NaN,10181.8361743173,11644.7199980735,2.14367583594069,1.1677820642823,143842.682281928,1106,VCVS,BPF
MFB_BPF,1111.40509438523,93152135.5501172,NaN,8.02502546026653e-11,3.92875447517282e-10,NaN,NaN,NaN,-2290196.40250335,108.651150344144,2785.71625515184,1736,MFB,BPF
MFB_BPF,2537.96453002944,23158657.3303145,NaN,9.46499830249833e-10,1.24002239971811e-10,NaN,NaN,NaN,-3177495.33395641,30.5704222989077,1916.22116992315,2069,MFB,BPF
PASSIVE_RC,39430.0851661949,NaN,NaN,3.73570236740066e-10,NaN,NaN,NaN,NaN,1,NaN,10804.884999832,290,PASSIVE,LPF
PASSIVE_RLC_BSF,21.2844655189012,NaN,NaN,5.22086274566346e-11,NaN,NaN,NaN,NaN,1,10,581.755864440088,137,PASSIVE,BSF
PASSIVE_RC,453974.188482516,NaN,NaN,9.49604589824878e-10,NaN,NaN,NaN,NaN,1,NaN,369.186800720298,32,PASSIVE,HPF
PASSIVE_RC,55539.7585471197,NaN,NaN,2.33459962506299e-11,NaN,NaN,NaN,NaN,1,NaN,122744.978124023,469,PASSIVE,HPF
PASSIVE_RC,141866.178916472,NaN,NaN,6.89147327580804e-11,NaN,NaN,NaN,NaN,1,NaN,16279.0547524475,512,PASSIVE,HPF
MFB_HPF,5259.23135652741,2432340246.9738,NaN,1.32265635171618e-10,2.78722934232792e-10,6.07910992726843e-10,NaN,NaN,-4.5961370989378,0.000129250126148223,108.103680345446,1782,MFB,HPF
MFB_LPF,90025776.4717908,1078.24360780073,163738808.581174,6.92227018138459e-11,9.03608925276997e-10,NaN,NaN,NaN,-1.81879918172637,0.000710245660284736,1514.50720417115,1747,MFB,LPF
ACTIVE_OTHER_CASCADED_VCVS,37721.3182718975,37721.3182718975,70772.1138642131,1.8511563247134e-12,1.8511563247134e-12,5.13031103502614e-11,9869.25884025341,3716.2013534801,2.85937095548429,0.849820649186773,1161537.46542385,2205,ACTIVE_OTHER,BPF
PASSIVE_RC,98765.7046794832,NaN,NaN,2.99546051384627e-12,NaN,NaN,NaN,NaN,1,NaN,537960.471846592,107,PASSIVE,LPF
ACTIVE_OTHER_CASCADED_VCVS,563717.581307748,563717.581307748,17257.2027073074,2.07937831489457e-11,2.07937831489457e-11,6.91608562963208e-11,10147.8623292508,6910.41216368487,2.9496941794135,0.78059444046114,73463.2712978287,2783,ACTIVE_OTHER,HPF
PASSIVE_RLC_BSF,801.241666694262,NaN,NaN,5.9758860618586e-10,NaN,NaN,NaN,NaN,1,10,899.044239730644,89,PASSIVE,BSF
PASSIVE_RLC_BSF,310.373260813408,NaN,NaN,5.44902038808507e-12,NaN,NaN,NaN,NaN,1,10,177.949600456819,253,PASSIVE,BSF
ACTIVE_OTHER_CASCADED_VCVS,584115.237472692,584115.237472692,37961.3011472451,1.38309303184835e-11,1.38309303184835e-11,2.76184636311964e-11,9899.4865090253,12023.0770282078,3.51363561296374,0.990316162684047,85751.4454310715,2578,ACTIVE_OTHER,HPF
MFB_BPF,1428.05053861258,1995859.80540254,NaN,4.79647061382181e-10,3.63485115045535e-11,NaN,NaN,NaN,-19265034.5280575,9.56646443540744,22577.6698161713,2006,MFB,BPF
VCVS_HPF,326571.816367092,326571.816367092,NaN,6.96045749814386e-11,6.96045749814386e-11,NaN,10013.4334600142,6330.41421948241,1.63219216912572,0.731096852516787,7001.70234133551,782,VCVS,HPF
MFB_BPF,5415.33685391834,50287543.463443,NaN,1.20416212264119e-11,1.34300755444946e-11,NaN,NaN,NaN,-13749790.0833796,48.1106589296858,23982.5563746681,2046,MFB,BPF
PASSIVE_RLC_BPF,86.3434281248586,NaN,NaN,7.61106438465428e-12,NaN,NaN,NaN,NaN,1,10,822917.976801161,692,PASSIVE,BPF
PASSIVE_RC,378600.192293831,NaN,NaN,7.57042338146188e-10,NaN,NaN,NaN,NaN,1,NaN,555.289080063118,307,PASSIVE,HPF
VCVS_LPF,250716.362499879,250716.362499879,NaN,3.27520884363041e-10,3.27520884363041e-10,NaN,9959.78365535443,5038.21882576585,1.50585625151178,0.669279646628245,1938.1994027658,1228,VCVS,LPF
PASSIVE_RC,12587.925922926,NaN,NaN,1.23313827105543e-11,NaN,NaN,NaN,NaN,1,NaN,1025307.60013351,603,PASSIVE,HPF
VCVS_HPF,1085.62195029221,1085.62195029221,NaN,4.75147707792537e-11,4.75147707792537e-11,NaN,10147.0558409301,867.973510343231,1.08553944355387,0.522340351506813,3085409.96173926,834,VCVS,HPF
PASSIVE_RC,8673.65518643072,NaN,NaN,3.29216630343931e-12,NaN,NaN,NaN,NaN,1,NaN,5573605.33267416,420,PASSIVE,LPF
MFB_HPF,32470.659571292,504235.689567268,NaN,3.29582484348227e-11,2.95345290400898e-11,1.08217898348682e-09,NaN,NaN,-32.8348451413281,0.00120705593521211,6957.33976598355,1585,MFB,HPF
VCVS_BSF,46648.5759687823,46648.5759687823,NaN,4.55851440957797e-12,4.55851440957797e-12,NaN,9898.02895124466,3800.75337424093,1.38399093324161,0.811676364815764,748442.445296248,1393,VCVS,BSF
MFB_BPF,87050.1045800655,3454540681.79915,NaN,1.16034380161614e-11,2.11474690548947e-11,NaN,NaN,NaN,-543215.689054224,95.2817481835877,585.892292616103,1573,MFB,BPF
VCVS_BPF,163885.922775568,163885.922775568,NaN,3.04077668696778e-11,3.04077668696778e-11,NaN,9968.98856236786,10636.0952602104,2.06691819272026,1.07171739090632,31936.9879093241,896,VCVS,BPF
PASSIVE_RLC_BSF,9377.38119684676,NaN,NaN,2.68448581869251e-11,NaN,NaN,NaN,NaN,1,10,5185.61963294665,673,PASSIVE,BSF
MFB_BPF,1694.71749133175,6431552.1661121,NaN,2.32857673664688e-11,2.5437265150832e-10,NaN,NaN,NaN,-2319702.39647191,17.0757143752278,19807.6563082399,1859,MFB,BPF
MFB_HPF,7209.96822974433,40486038.6569836,NaN,4.759279892599e-11,2.78964293751503e-10,1.09846600821524e-11,NaN,NaN,-0.230805086694612,0.00948219268476335,5321.48929397903,1428,MFB,HPF
ACTIVE_OTHER_CASCADED_VCVS,1510.33688414709,1510.33688414709,699514.737412436,2.07655872827439e-10,2.07655872827439e-10,1.26854351809994e-12,9963.84742304745,7480.36829770125,2.89765865383226,1.72784961367597,343408.567094952,2796,ACTIVE_OTHER,BSF
ACTIVE_OTHER_CASCADED_VCVS,536118.070216909,536118.070216909,809509.640968277,6.05226088649114e-10,6.05226088649114e-10,1.48930436180329e-10,10036.4222701601,2743.44410364486,1.57130253027187,0.572702346384229,905.313588894321,2604,ACTIVE_OTHER,HPF
MFB_HPF,46684.6794781787,524654311.259696,NaN,3.61013805262229e-11,1.91443607536207e-11,3.84284869755687e-11,NaN,NaN,-1.06446031745671,0.0025659491502166,1185.63016573953,1809,MFB,HPF
MFB_BPF,4131.57099671661,2132.45569389704,NaN,7.58738863899648e-11,7.56366114992608e-10,NaN,NaN,NaN,-320002.016923798,0.206797845214099,223825.888008535,2085,MFB,BPF
MFB_BPF,10617.7152691367,4362565746.49976,NaN,7.91852764588094e-10,6.1198498724404e-11,NaN,NaN,NaN,-1538962.92227212,165.414252816802,106.228487696011,1780,MFB,BPF
ACTIVE_OTHER_CASCADED_VCVS,136123.149845174,136123.149845174,1510.21239330189,6.26616986782306e-11,6.26616986782306e-11,1.53292164868677e-11,10111.0480021329,6747.04832031676,1.91004962875768,1.04401800093556,3446745.87890675,2223,ACTIVE_OTHER,BSF
MFB_BPF,5229.0069230035,42948.8831934438,NaN,1.73714395860975e-10,5.72314770520597e-11,NaN,NaN,NaN,-3341533.57123221,1.23734698940316,106512.162746982,1616,MFB,BPF
VCVS_BSF,1163.92604794334,1163.92604794334,NaN,1.4262666386404e-10,1.4262666386404e-10,NaN,10188.1235736086,4748.44103542558,1.46607611314472,0.936463065821824,958724.9291663,1392,VCVS,BSF
PASSIVE_RC,13775.7805309081,NaN,NaN,1.08295863300482e-12,NaN,NaN,NaN,NaN,1,NaN,10668222.1030374,397,PASSIVE,LPF
MFB_BPF,10285.7831863012,5951409179.26707,NaN,7.23658768141223e-11,4.96947869236482e-11,NaN,NaN,NaN,-1956373.63566024,373.71267336022,339.210442094434,1465,MFB,BPF
ACTIVE_OTHER_CASCADED_VCVS,1617.22080553484,1617.22080553484,30366.0482407367,3.41444014324791e-11,3.41444014324791e-11,2.31196479362876e-10,9817.60259580352,6689.30248438737,3.96254894307374,1.15648676467908,1452458.84926925,2512,ACTIVE_OTHER,BPF
ACTIVE_OTHER_CASCADED_VCVS,19755.4223538278,19755.4223538278,753995.948700064,1.82327486999834e-11,1.82327486999834e-11,3.72178662789889e-11,9868.06378937819,5448.37010766056,1.70385303088778,0.608180509338291,223764.224005461,2763,ACTIVE_OTHER,HPF
VCVS_HPF,2994.38613091164,2994.38613091164,NaN,1.3268253209563e-11,1.3268253209563e-11,NaN,9905.72837462203,11844.6935518903,2.19574180756216,1.2433818012706,4005885.92786738,1329,VCVS,HPF
VCVS_BSF,9660.96527533255,9660.96527533255,NaN,5.27508566477294e-10,5.27508566477294e-10,NaN,9927.65838157341,6227.36002000047,1.62727380220486,1.34146728337783,31229.8640579571,1008,VCVS,BSF
MFB_BPF,27043.6095766112,13.5804773799547,NaN,7.57282327895285e-10,6.89807832914139e-10,NaN,NaN,NaN,-53605.2370606978,0.0111923831949734,363360.163915814,1984,MFB,BPF
PASSIVE_RC,1340.03437708787,NaN,NaN,8.28873051815793e-10,NaN,NaN,NaN,NaN,1,NaN,143290.095339305,177,PASSIVE,LPF
PASSIVE_RC,10430.8818790282,NaN,NaN,2.91808717896341e-12,NaN,NaN,NaN,NaN,1,NaN,5228785.68776975,319,PASSIVE,LPF
PASSIVE_RLC_BSF,109.172027398771,NaN,NaN,9.94994759214233e-11,NaN,NaN,NaN,NaN,1,10,6384.39575390209,590,PASSIVE,BSF
PASSIVE_RLC_BPF,3741.04933893975,NaN,NaN,5.58872135367628e-11,NaN,NaN,NaN,NaN,1,7.08750836444302,107404.049103723,543,PASSIVE,BPF
PASSIVE_RLC_BPF,20.5689006291455,NaN,NaN,2.94350436804367e-11,NaN,NaN,NaN,NaN,1,10,207.006385151754,383,PASSIVE,BPF
MFB_LPF,39.4070394581268,8812.80574235619,84.4215242372267,2.73287872356447e-10,2.45642791185509e-10,NaN,NaN,NaN,-2.14229552379675,0.0327535732952446,712154.539476656,1797,MFB,LPF
PASSIVE_RC,4298.86242190219,NaN,NaN,3.3359740193219e-11,NaN,NaN,NaN,NaN,1,NaN,1109797.96853823,175,PASSIVE,HPF
MFB_LPF,80006774.3418819,76349.754396905,140333779.905041,3.69373770461293e-11,4.86867569175062e-11,NaN,NaN,NaN,-1.75402371935871,0.0202861707068469,1146.55989915108,1768,MFB,LPF
VCVS_BPF,30400.7935144663,30400.7935144663,NaN,2.34143546616749e-10,2.34143546616749e-10,NaN,9943.13829730224,4062.98231529069,1.40862172422896,0.62838610732919,22359.0331385247,1150,VCVS,BPF
